tweet_id,favorites,retweets,timestamp
835536468978302976,0,1536,Sat Feb 25 17:06:32 +0000 2017
835309094223372289,0,19036,Sat Feb 25 02:03:02 +0000 2017
835297930240217089,15369,2729,Sat Feb 25 01:18:40 +0000 2017
835264098648616962,7182,1536,Fri Feb 24 23:04:14 +0000 2017
835246439529840640,1984,63,Fri Feb 24 21:54:03 +0000 2017
835172783151792128,24454,5275,Fri Feb 24 17:01:22 +0000 2017
835152434251116546,20828,2748,Fri Feb 24 15:40:31 +0000 2017
834931633769889797,10054,1482,Fri Feb 24 01:03:08 +0000 2017
834786237630337024,20112,5088,Thu Feb 23 15:25:23 +0000 2017
834574053763584002,12746,2298,Thu Feb 23 01:22:14 +0000 2017
834477809192075265,0,9712,Wed Feb 22 18:59:48 +0000 2017
834458053273591808,8988,1540,Wed Feb 22 17:41:18 +0000 2017
834209720923721728,19157,4305,Wed Feb 22 01:14:30 +0000 2017
834167344700198914,14773,3345,Tue Feb 21 22:26:07 +0000 2017
834089966724603904,9397,1957,Tue Feb 21 17:18:39 +0000 2017
834086379323871233,12177,2032,Tue Feb 21 17:04:24 +0000 2017
833863086058651648,12554,2193,Tue Feb 21 02:17:06 +0000 2017
833826103416520705,16998,3471,Mon Feb 20 23:50:09 +0000 2017
833732339549220864,0,202,Mon Feb 20 17:37:34 +0000 2017
833722901757046785,19583,2979,Mon Feb 20 17:00:04 +0000 2017
833479644947025920,13935,1876,Mon Feb 20 00:53:27 +0000 2017
833124694597443584,18888,4420,Sun Feb 19 01:23:00 +0000 2017
832998151111966721,12371,1997,Sat Feb 18 17:00:10 +0000 2017
832769181346996225,0,38,Sat Feb 18 01:50:19 +0000 2017
832757312314028032,15774,3304,Sat Feb 18 01:03:09 +0000 2017
832682457690300417,11089,2647,Fri Feb 17 20:05:43 +0000 2017
832645525019123713,2715,482,Fri Feb 17 17:38:57 +0000 2017
832636094638288896,14820,2539,Fri Feb 17 17:01:29 +0000 2017
832397543355072512,11193,2030,Fri Feb 17 01:13:34 +0000 2017
832369877331693569,16001,2905,Thu Feb 16 23:23:38 +0000 2017
832273440279240704,10599,2133,Thu Feb 16 17:00:25 +0000 2017
832215909146226688,0,5686,Thu Feb 16 13:11:49 +0000 2017
832215726631055365,0,8537,Thu Feb 16 13:11:05 +0000 2017
832088576586297345,58,2,Thu Feb 16 04:45:50 +0000 2017
832040443403784192,0,8761,Thu Feb 16 01:34:34 +0000 2017
832032802820481025,16668,4277,Thu Feb 16 01:04:13 +0000 2017
831939777352105988,22366,5628,Wed Feb 15 18:54:34 +0000 2017
831926988323639298,319,34,Wed Feb 15 18:03:45 +0000 2017
831911600680497154,25698,5938,Wed Feb 15 17:02:36 +0000 2017
831670449226514432,9746,1679,Wed Feb 15 01:04:21 +0000 2017
831650051525054464,6652,1781,Tue Feb 14 23:43:18 +0000 2017
831552930092285952,8409,2145,Tue Feb 14 17:17:22 +0000 2017
831322785565769729,8721,1435,Tue Feb 14 02:02:51 +0000 2017
831315979191906304,6155,1033,Tue Feb 14 01:35:49 +0000 2017
831309418084069378,11034,2248,Tue Feb 14 01:09:44 +0000 2017
831262627380748289,11095,1880,Mon Feb 13 22:03:49 +0000 2017
830956169170665475,7468,1370,Mon Feb 13 01:46:03 +0000 2017
830583320585068544,62016,15316,Sun Feb 12 01:04:29 +0000 2017
830173239259324417,0,5210,Fri Feb 10 21:54:58 +0000 2017
830097400375152640,9096,2677,Fri Feb 10 16:53:37 +0000 2017
829878982036299777,0,4569,Fri Feb 10 02:25:42 +0000 2017
829861396166877184,11454,1784,Fri Feb 10 01:15:49 +0000 2017
829501995190984704,29729,9712,Thu Feb 09 01:27:41 +0000 2017
829449946868879360,9822,1847,Wed Feb 08 22:00:52 +0000 2017
829141528400556032,22765,6728,Wed Feb 08 01:35:19 +0000 2017
829011960981237760,50008,15018,Tue Feb 07 17:00:28 +0000 2017
828801551087042563,0,3140,Tue Feb 07 03:04:22 +0000 2017
828770345708580865,23938,5363,Tue Feb 07 01:00:22 +0000 2017
828708714936930305,34039,10251,Mon Feb 06 20:55:28 +0000 2017
828650029636317184,8902,1232,Mon Feb 06 17:02:17 +0000 2017
828409743546925057,6006,1072,Mon Feb 06 01:07:28 +0000 2017
828408677031882754,7211,1179,Mon Feb 06 01:03:14 +0000 2017
828381636999917570,11791,2049,Sun Feb 05 23:15:47 +0000 2017
828376505180889089,6961,986,Sun Feb 05 22:55:23 +0000 2017
828372645993398273,11801,2711,Sun Feb 05 22:40:03 +0000 2017
828361771580813312,2056,165,Sun Feb 05 21:56:51 +0000 2017
828046555563323392,10993,2640,Sun Feb 05 01:04:17 +0000 2017
828011680017821696,9726,1978,Sat Feb 04 22:45:42 +0000 2017
827933404142436356,18734,4793,Sat Feb 04 17:34:40 +0000 2017
827653905312006145,14516,2782,Fri Feb 03 23:04:02 +0000 2017
827600520311402496,7030,862,Fri Feb 03 19:31:54 +0000 2017
827324948884643840,14868,2790,Fri Feb 03 01:16:53 +0000 2017
827199976799354881,9956,2045,Thu Feb 02 17:00:17 +0000 2017
826958653328592898,20181,4569,Thu Feb 02 01:01:21 +0000 2017
826848821049180160,33836,9275,Wed Feb 01 17:44:55 +0000 2017
826615380357632002,0,3656,Wed Feb 01 02:17:19 +0000 2017
826598799820865537,4826,229,Wed Feb 01 01:11:25 +0000 2017
826598365270007810,9390,2168,Wed Feb 01 01:09:42 +0000 2017
826476773533745153,17281,3869,Tue Jan 31 17:06:32 +0000 2017
826240494070030336,12458,2407,Tue Jan 31 01:27:39 +0000 2017
826204788643753985,4576,850,Mon Jan 30 23:05:46 +0000 2017
826115272272650244,14653,2844,Mon Jan 30 17:10:04 +0000 2017
825876512159186944,9854,1727,Mon Jan 30 01:21:19 +0000 2017
825829644528148480,11952,2318,Sun Jan 29 22:15:05 +0000 2017
825535076884762624,53678,16262,Sun Jan 29 02:44:34 +0000 2017
825147591692263424,17159,4149,Sat Jan 28 01:04:51 +0000 2017
825120256414846976,0,1162,Fri Jan 27 23:16:13 +0000 2017
825026590719483904,5863,1162,Fri Jan 27 17:04:02 +0000 2017
824796380199809024,0,5063,Fri Jan 27 01:49:15 +0000 2017
824775126675836928,13973,3251,Fri Jan 27 00:24:48 +0000 2017
824663926340194305,9880,1633,Thu Jan 26 17:02:56 +0000 2017
